city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Delhi,Delhi,28.61,77.23,India,IN,IND,Delhi,admin,32226000,1356872604
Mumbai,Mumbai,19.0761,72.8775,India,IN,IND,Mahārāshtra,admin,24973000,1356226629
Kolkāta,Kolkata,22.5675,88.37,India,IN,IND,West Bengal,admin,21747000,1356060520
Bangalore,Bangalore,12.9789,77.5917,India,IN,IND,Karnātaka,admin,15386000,1356410365
Chennai,Chennai,13.0825,80.275,India,IN,IND,Tamil Nādu,admin,12395000,1356374944
Hyderābād,Hyderabad,17.3617,78.4747,India,IN,IND,Telangāna,admin,10494000,1356871768
Pune,Pune,18.5203,73.8567,India,IN,IND,Mahārāshtra,,8231000,1356081074
Ahmedabad,Ahmedabad,23.0225,72.5714,India,IN,IND,Gujarāt,minor,8009000,1356304381
Sūrat,Surat,21.205,72.84,India,IN,IND,Gujarāt,,6538000,1356758738
Prayagraj,Prayagraj,25.4358,81.8464,India,IN,IND,Uttar Pradesh,,5954391,1356718332
Belāhi,Belahi,26.4,86.25,India,IN,IND,Bihār,,4487379,1356614886
Nādampālaiyam,Nadampalaiyam,11.0125,76.9714,India,IN,IND,Tamil Nādu,,3458045,1356163850
Lucknow,Lucknow,26.85,80.95,India,IN,IND,Uttar Pradesh,admin,3382000,1356891790
Kannankulam,Kannankulam,10.52,76.21,India,IN,IND,Kerala,,3243170,1356335606
Jaipur,Jaipur,26.9,75.8,India,IN,IND,Rājasthān,admin,3073350,1356293537
Kottārasshēri,Kottarassheri,10.775,76.651,India,IN,IND,Kerala,,2952254,1356333889
Attadappa,Attadappa,11.8689,75.3555,India,IN,IND,Kerala,,2615266,1356069832
Barmhān Kalān,Barmhan Kalan,19.1972,72.9722,India,IN,IND,Madhya Pradesh,,2537000,1356157519
Mirzāpur,Mirzapur,25.146,82.569,India,IN,IND,Uttar Pradesh,,2496970,1356427908
Nāgpur,Nagpur,21.1497,79.0806,India,IN,IND,Mahārāshtra,,2405665,1356365743
Ghāziābād,Ghaziabad,28.67,77.42,India,IN,IND,Uttar Pradesh,,2375820,1356691871
Supaul,Supaul,26.126,86.605,India,IN,IND,Bihār,,2229076,1356015995
